ENT,SEXO,EDAD,P3_6,P3_7,P3_8,P3_11,P3_12_1,P3_12_2,P3_12_3,P3_12_4,P3_12_5,P3_12_6,P3_12_7,P3_12_8,P3_13,P3_14,P3_15,P3_16,P3_17_1,P3_17_2,P3_17_3,P3_17_4,P3_17_5,P3_17_6,P3_17_7,P3_17_8,P3_18,P3_20,P3_23,P3_24,P3_25_1,P3_25_2,P3_25_3,P3_25_4,P3_25_5,P3_26,FACTOR,P3_13_w,P3_7_w,P3_8_w,P3_11_w,P3_12_1_w,P3_12_2_w,P3_12_3_w,P3_12_4_w,P3_12_5_w,P3_12_6_w,P3_12_7_w,P3_12_8_w,P3_14_w,P3_16_w,P3_17_1_w,P3_17_2_w,P3_17_3_w,P3_17_4_w,P3_17_5_w,P3_17_6_w,P3_17_7_w,P3_17_8_w,P3_20_w,P3_23_w,Region,gender_string,P3_6_string,P3_15_string
1,2,26,,,,,,,,,,,,,,0,,0.0,,,,,,,,,7.0,,,,,,,,,5,1493,,,,,,,,,,,,,0,0.0,,,,,,,,,,,Northcenter,female,public,public
1,2,14,1.0,1.0,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,1.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,2,1019,0.0,1019.0,,1019.0,1019.0,1019.0,0.0,1019.0,1019.0,0.0,0.0,0.0,1019,,,,,,,,,,1019.0,1019.0,Northcenter,female,public,public
1,2,18,1.0,1.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,2,1019,0.0,1019.0,,1019.0,0.0,1019.0,0.0,1019.0,0.0,0.0,0.0,0.0,1019,,,,,,,,,,1019.0,0.0,Northcenter,female,public,public
1,2,22,1.0,1.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1.0,,,,,,,,,,,1.0,0.0,,0.0,0.0,1.0,0.0,0.0,2,865,865.0,865.0,,865.0,0.0,865.0,0.0,865.0,0.0,0.0,0.0,0.0,865,,,,,,,,,,865.0,0.0,Northcenter,female,public,public
1,1,23,2.0,1.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,2.0,,,,,,,,,,,1.0,0.0,,0.0,1.0,1.0,0.0,0.0,2,865,865.0,865.0,,865.0,0.0,865.0,0.0,865.0,0.0,0.0,0.0,0.0,865,,,,,,,,,,865.0,0.0,Northcenter,male,private,private
1,2,6,2.0,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,2.0,,,,,,,,,,,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,1303,1303.0,1303.0,,1303.0,0.0,0.0,0.0,1303.0,0.0,0.0,0.0,0.0,1303,,,,,,,,,,1303.0,1303.0,Northcenter,female,private,private
1,1,11,2.0,1.0,,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1,2.0,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1303,1303.0,1303.0,,1303.0,0.0,0.0,1303.0,1303.0,0.0,0.0,0.0,0.0,1303,,,,,,,,,,1303.0,1303.0,Northcenter,male,private,private
1,1,14,2.0,1.0,,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2.0,,,,,,,,,,,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1,1303,0.0,1303.0,,1303.0,0.0,0.0,1303.0,0.0,0.0,0.0,0.0,0.0,1303,,,,,,,,,,1303.0,1303.0,Northcenter,male,private,private
1,1,22,1.0,1.0,,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1,1596,0.0,1596.0,,1596.0,0.0,1596.0,0.0,1596.0,0.0,0.0,0.0,0.0,1596,,,,,,,,,,1596.0,1596.0,Northcenter,male,public,public
1,2,15,1.0,1.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1,1.0,,,,,,,,,,,1.0,1.0,3.0,0.0,1.0,1.0,0.0,0.0,1,1165,1165.0,1165.0,,0.0,0.0,0.0,0.0,0.0,1165.0,0.0,0.0,0.0,1165,,,,,,,,,,1165.0,1165.0,Northcenter,female,public,public
1,1,16,1.0,1.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1,1.0,,,,,,,,,,,1.0,0.0,,0.0,1.0,0.0,0.0,0.0,1,1165,1165.0,1165.0,,1165.0,0.0,1165.0,0.0,0.0,0.0,0.0,0.0,0.0,1165,,,,,,,,,,1165.0,0.0,Northcenter,male,public,public
1,2,9,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1,1.0,,,,,,,,,,,0.0,1.0,3.0,0.0,1.0,0.0,0.0,0.0,1,799,799.0,799.0,,0.0,0.0,0.0,0.0,799.0,0.0,0.0,0.0,0.0,799,,,,,,,,,,0.0,799.0,Northcenter,female,public,public
1,1,10,1.0,1.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1,1.0,,,,,,,,,,,1.0,1.0,4.0,0.0,1.0,0.0,0.0,0.0,1,799,0.0,799.0,,0.0,0.0,0.0,0.0,799.0,0.0,0.0,0.0,0.0,799,,,,,,,,,,799.0,799.0,Northcenter,male,public,public
